record_id,redcap_repeat_instrument,redcap_repeat_instance,mouse_sex,mouse_date_of_birth,mouse_genotype,mouse_notes,weight_mass_g,weight_date,weight_time,mri_date,mri_start_time,mri_duration,mri_body_temp_c,mri_heart_rate_bpm,mri_ventricle,mri_sh_th_ape_sept_d,mri_sh_th_ape_anter_d,mri_sh_th_ape_later_d,mri_sh_th_ape_poster_d,mri_inn_dia_ape_post_ant_d,mri_inn_dia_ape_lat_sept_d,mri_sh_th_ape_sept_s,mri_sh_th_ape_anter_s,mri_sh_th_ape_later_s,mri_sh_th_ape_poster_s,mri_inn_dia_ape_post_ant_s,mri_inn_dia_ape_lat_sept_s,mri_sh_th_mid_sept_d,mri_sh_th_mid_anter_d,mri_sh_th_mid_later_d,mri_sh_th_mid_poster_d,mri_inn_dia_mid_post_ant_d,mri_inn_dia_mid_lat_sept_d,mri_sh_th_mid_sept_s,mri_sh_th_mid_anter_s,mri_sh_th_mid_later_s,mri_sh_th_mid_poster_s,mri_inn_dia_mid_post_ant_s,mri_inn_dia_mid_lat_sept_s,mri_sh_th_bas_sept_d,mri_sh_th_bas_anter_d,mri_sh_th_bas_later_d,mri_sh_th_bas_poster_d,mri_inn_dia_bas_post_ant_d,mri_inn_dia_bas_lat_sept_d,mri_sh_th_bas_sept_s,mri_sh_th_bas_anter_s,mri_sh_th_bas_later_s,mri_sh_th_bas_poster_s,mri_inn_dia_bas_post_ant_s,mri_inn_dia_bas_lat_sept_s,mri_lo_th_ape_sept_d,mri_lo_th_ape_anter_d,mri_lo_th_ape_later_d,mri_lo_th_ape_poster_d,mri_lo_th_ape_sept_s,mri_lo_th_ape_anter_s,mri_lo_th_ape_later_s,mri_lo_th_ape_poster_s,mri_lo_th_mid_sept_d,mri_lo_th_mid_anter_d,mri_lo_th_mid_later_d,mri_lo_th_mid_poster_d,mri_lo_th_mid_sept_s,mri_lo_th_mid_anter_s,mri_lo_th_mid_later_s,mri_lo_th_mid_poster_s,mri_lo_th_bas_sept_d,mri_lo_th_bas_anter_d,mri_lo_th_bas_later_d,mri_lo_th_bas_poster_d,mri_lo_th_bas_sept_s,mri_lo_th_bas_anter_s,mri_lo_th_bas_later_s,mri_lo_th_bas_poster_s,mri_vol_d,mri_vol_s,mri_vent_mass,ech_date,ech_start_time,ech_duration,ech_body_temp_c,ech_heart_rate_bpm,ech_ventricle,ech_wall_thick_d_anter,ech_wall_thick_d_poster,ech_wall_thick_s_anter,ech_wall_thick_s_poster,ech_inner_diam_d,ech_inner_diam_s,ech_vol_d,ech_vol_s,ech_vent_mass,death_date,death_heart_weight,death_tibia_length_left,death_tibia_length_right,biospecimen_date_procured,biospecimen_label,biospecimen_type,biospecimen_type_other,biospecimen_mass,biospecimen_date_distrib,biospecimen_recipient,biospecimen_location
504,,,1,5/1/21,1,Tattoo: K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,1,,,,,9.7,5/21/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,2,,,,,12.6,5/28/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,3,,,,,18.7,6/4/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,4,,,,,17.5,6/11/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,5,,,,,20.4,6/18/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,6,,,,,21,6/25/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,7,,,,,19.4,7/2/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,8,,,,,19.3,7/9/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,9,,,,,20.7,7/16/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,10,,,,,21.1,7/23/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,11,,,,,21.4,7/30/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,12,,,,,21.7,8/6/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,13,,,,,22.2,8/13/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,weight,14,,,,,30,8/20/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,,,1,5/1/21,1,Tattoo: G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,1,,,,,10.3,5/21/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,2,,,,,15.7,5/28/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,3,,,,,16.1,6/4/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,4,,,,,19.5,6/11/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,5,,,,,17.6,6/18/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,6,,,,,17.4,6/25/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,7,,,,,21.5,7/2/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,8,,,,,22.2,7/9/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,9,,,,,22.5,7/16/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,10,,,,,23.2,7/23/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,11,,,,,23.2,7/30/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,12,,,,,23.5,8/6/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,weight,13,,,,,23.6,8/13/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,,,1,5/1/21,2,Tattoo: KK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,1,,,,,9.3,5/21/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,2,,,,,13,5/28/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,3,,,,,16.7,6/4/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,4,,,,,17,6/11/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,5,,,,,18.1,6/18/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,6,,,,,18.8,6/25/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,7,,,,,18.1,7/2/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,8,,,,,18.4,7/9/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,9,,,,,19.2,7/16/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,10,,,,,20.5,7/23/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,11,,,,,20.3,7/30/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,12,,,,,20.9,8/6/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,weight,13,,,,,21.1,8/13/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,,,1,5/1/21,1,Tattoo: K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,weight,1,,,,,10.6,5/21/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,weight,2,,,,,14.7,5/28/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,weight,3,,,,,17.4,6/4/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,weight,4,,,,,18,6/11/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,weight,5,,,,,19.1,6/18/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,weight,6,,,,,20.1,6/25/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,weight,7,,,,,20.1,7/2/21,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
